county,precinct,office,district,candidate,party,votes,absentee,election_day
Butler County,2220 IRWIN BOROUGH - 2nd WARD,Straight Party,,Republican,REP,47,0,47
Butler County,2220 IRWIN BOROUGH - 2nd WARD,Straight Party,,Green Party,GRN,0,0,0
Butler County,2220 IRWIN BOROUGH - 2nd WARD,Straight Party,,Libertarian,LN,0,0,0
Butler County,2220 IRWIN BOROUGH - 2nd WARD,U.S. Senate,,Bob Casey Jr,DEM,84,3,81
Butler County,2220 IRWIN BOROUGH - 2nd WARD,U.S. Senate,,Lou Barletta,REP,81,0,81
Butler County,2220 IRWIN BOROUGH - 2nd WARD,U.S. Senate,,Neal Gale,GRN,0,0,0
Butler County,2220 IRWIN BOROUGH - 2nd WARD,U.S. Senate,,Dale R Kerns Jr,LN,5,0,5
Butler County,2220 IRWIN BOROUGH - 2nd WARD,Governor,,Tom Wolf,DEM,89,3,86
Butler County,2220 IRWIN BOROUGH - 2nd WARD,Governor,,Scott R Wagner,REP,75,0,75
Butler County,2220 IRWIN BOROUGH - 2nd WARD,Governor,,Paul Glover,GRN,1,0,1
Butler County,2220 IRWIN BOROUGH - 2nd WARD,Governor,,Ken V Krawchuk,LN,4,0,4
Butler County,2220 IRWIN BOROUGH - 2nd WARD,U.S. House,14.0,Bibiana Boerio,DEM,84,3,81
Butler County,2220 IRWIN BOROUGH - 2nd WARD,U.S. House,14.0,Guy Reschenthaler,REP,84,0,84
Butler County,2220 IRWIN BOROUGH - 2nd WARD,State House,56.0,Doug Hunt,DEM,89,3,86
Butler County,2220 IRWIN BOROUGH - 2nd WARD,State House,56.0,George Dunbar,REP,80,0,80
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Straight Party,,Democratic,DEM,47,10,36
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Straight Party,,Republican,REP,87,0,87
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Straight Party,,Green Party,GRN,0,0,0
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Straight Party,,Libertarian,LN,1,0,1
Butler County,2230 IRWIN BOROUGH - 3rd WARD,U.S. Senate,,Bob Casey Jr,DEM,107,16,90
Butler County,2230 IRWIN BOROUGH - 3rd WARD,U.S. Senate,,Lou Barletta,REP,126,1,125
Butler County,2230 IRWIN BOROUGH - 3rd WARD,U.S. Senate,,Neal Gale,GRN,1,0,1
Butler County,2230 IRWIN BOROUGH - 3rd WARD,U.S. Senate,,Dale R Kerns Jr,LN,1,0,1
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Governor,,Tom Wolf,DEM,115,16,99
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Governor,,Scott R Wagner,REP,120,1,119
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Governor,,Paul Glover,GRN,1,0,1
Butler County,2230 IRWIN BOROUGH - 3rd WARD,Governor,,Ken V Krawchuk,LN,2,0,2
Butler County,2230 IRWIN BOROUGH - 3rd WARD,U.S. House,14.0,Bibiana Boerio,DEM,100,14,85
Butler County,2230 IRWIN BOROUGH - 3rd WARD,U.S. House,14.0,Guy Reschenthaler,REP,135,3,132
Butler County,2230 IRWIN BOROUGH - 3rd WARD,State House,56.0,Doug Hunt,DEM,92,13,79
Butler County,2230 IRWIN BOROUGH - 3rd WARD,State House,56.0,George Dunbar,REP,143,3,140
Butler County,2240 IRWIN BOROUGH - 4th WARD,Straight Party,,Democratic,DEM,44,0,44
Butler County,2240 IRWIN BOROUGH - 4th WARD,Straight Party,,Republican,REP,36,0,36
Butler County,2240 IRWIN BOROUGH - 4th WARD,Straight Party,,Green Party,GRN,1,0,1
Butler County,2240 IRWIN BOROUGH - 4th WARD,Straight Party,,Libertarian,LN,1,0,1
Butler County,2240 IRWIN BOROUGH - 4th WARD,U.S. Senate,,Bob Casey Jr,DEM,80,2,78
Butler County,2240 IRWIN BOROUGH - 4th WARD,U.S. Senate,,Lou Barletta,REP,68,0,68
Butler County,2240 IRWIN BOROUGH - 4th WARD,U.S. Senate,,Neal Gale,GRN,2,0,2
Butler County,2240 IRWIN BOROUGH - 4th WARD,U.S. Senate,,Dale R Kerns Jr,LN,1,0,1
Butler County,2240 IRWIN BOROUGH - 4th WARD,Governor,,Tom Wolf,DEM,77,2,75
Butler County,2240 IRWIN BOROUGH - 4th WARD,Governor,,Scott R Wagner,REP,72,0,72
Butler County,2240 IRWIN BOROUGH - 4th WARD,Governor,,Paul Glover,GRN,3,0,3
Butler County,2240 IRWIN BOROUGH - 4th WARD,Governor,,Ken V Krawchuk,LN,1,0,1
Butler County,2240 IRWIN BOROUGH - 4th WARD,U.S. House,14.0,Bibiana Boerio,DEM,74,2,72
Butler County,2240 IRWIN BOROUGH - 4th WARD,U.S. House,14.0,Guy Reschenthaler,REP,78,0,78
Butler County,2240 IRWIN BOROUGH - 4th WARD,State House,56.0,Doug Hunt,DEM,67,1,66
Butler County,2240 IRWIN BOROUGH - 4th WARD,State House,56.0,George Dunbar,REP,84,1,83
Butler County,2250 IRWIN BOROUGH - 5th WARD,Straight Party,,Democratic,DEM,32,1,31
Butler County,2250 IRWIN BOROUGH - 5th WARD,Straight Party,,Republican,REP,40,0,40
Butler County,2250 IRWIN BOROUGH - 5th WARD,Straight Party,,Green Party,GRN,1,0,1
Butler County,2250 IRWIN BOROUGH - 5th WARD,Straight Party,,Libertarian,LN,1,0,1
Butler County,2250 IRWIN BOROUGH - 5th WARD,U.S. Senate,,Bob Casey Jr,DEM,75,1,74
Butler County,2250 IRWIN BOROUGH - 5th WARD,U.S. Senate,,Lou Barletta,REP,67,0,67
Butler County,2250 IRWIN BOROUGH - 5th WARD,U.S. Senate,,Neal Gale,GRN,3,0,3
Butler County,2250 IRWIN BOROUGH - 5th WARD,U.S. Senate,,Dale R Kerns Jr,LN,1,0,1
Butler County,2250 IRWIN BOROUGH - 5th WARD,Governor,,Tom Wolf,DEM,82,1,81
Butler County,2250 IRWIN BOROUGH - 5th WARD,Governor,,Scott R Wagner,REP,65,0,65
Butler County,2250 IRWIN BOROUGH - 5th WARD,Governor,,Paul Glover,GRN,1,0,1
Butler County,2250 IRWIN BOROUGH - 5th WARD,Governor,,Ken V Krawchuk,LN,1,0,1
Butler County,2250 IRWIN BOROUGH - 5th WARD,U.S. House,14.0,Bibiana Boerio,DEM,75,1,74
Butler County,2250 IRWIN BOROUGH - 5th WARD,U.S. House,14.0,Guy Reschenthaler,REP,73,0,73
Butler County,2250 IRWIN BOROUGH - 5th WARD,State House,56.0,Doug Hunt,DEM,74,1,73
Butler County,2250 IRWIN BOROUGH - 5th WARD,State House,56.0,George Dunbar,REP,73,0,73
Butler County,2260 IRWIN BOROUGH - 6th WARD,Straight Party,,Democratic,DEM,74,1,73
Butler County,2260 IRWIN BOROUGH - 6th WARD,Straight Party,,Republican,REP,80,1,79
Butler County,2260 IRWIN BOROUGH - 6th WARD,Straight Party,,Green Party,GRN,0,0,0
Butler County,2260 IRWIN BOROUGH - 6th WARD,Straight Party,,Libertarian,LN,4,0,4
Butler County,2260 IRWIN BOROUGH - 6th WARD,U.S. Senate,,Bob Casey Jr,DEM,146,4,142
Butler County,2260 IRWIN BOROUGH - 6th WARD,U.S. Senate,,Lou Barletta,REP,136,2,134
Butler County,2260 IRWIN BOROUGH - 6th WARD,U.S. Senate,,Neal Gale,GRN,0,0,0
Butler County,2260 IRWIN BOROUGH - 6th WARD,U.S. Senate,,Dale R Kerns Jr,LN,6,0,6
Butler County,2260 IRWIN BOROUGH - 6th WARD,Governor,,Tom Wolf,DEM,150,4,146
Butler County,2260 IRWIN BOROUGH - 6th WARD,Governor,,Scott R Wagner,REP,131,2,129
Butler County,2260 IRWIN BOROUGH - 6th WARD,Governor,,Paul Glover,GRN,2,0,2
Butler County,2260 IRWIN BOROUGH - 6th WARD,Governor,,Ken V Krawchuk,LN,7,0,7
Butler County,2260 IRWIN BOROUGH - 6th WARD,U.S. House,14.0,Bibiana Boerio,DEM,139,4,135
Butler County,2260 IRWIN BOROUGH - 6th WARD,U.S. House,14.0,Guy Reschenthaler,REP,147,2,145
Butler County,2260 IRWIN BOROUGH - 6th WARD,State House,56.0,Doug Hunt,DEM,121,4,117
Butler County,2260 IRWIN BOROUGH - 6th WARD,State House,56.0,George Dunbar,REP,164,2,162
Butler County,2270 IRWIN BOROUGH - 7th WARD,Straight Party,,Democratic,DEM,74,2,72
