,ID,ElectionYear,CountyName,PartyName,CandidateName,Votes,YesVotes,NoVotes,Percentage,YesVotesPercent,NoVotesPercent,RunningMateName,Level,RankOrder,IsRetention,office
0,2,2018,BUCKS,DEM,"WOLF, THOMAS W ",172302,0,0,58.54,0.00,0.00,"FETTERMAN, JOHN K",BUCKS,1,0,Governor
1,4,2018,BUCKS,REP,"WAGNER, SCOTT R ",117912,0,0,40.06,0.00,0.00,"BARTOS, JEFFREY A",BUCKS,5,0,Governor
2,,2018,BUCKS,GRN,"GLOVER, PAUL ",1513,0,0,0.51,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BUCKS,14,0,Governor
3,,2018,BUCKS,LIB,"KRAWCHUK, KENNETH V ",2602,0,0,0.88,0.00,0.00,"SMITH, KATHLEEN S",BUCKS,17,0,Governor
0,2,2018,BUTLER,DEM,"WOLF, THOMAS W ",32891,0,0,41.26,0.00,0.00,"FETTERMAN, JOHN K",BUTLER,1,0,Governor
1,4,2018,BUTLER,REP,"WAGNER, SCOTT R ",45242,0,0,56.76,0.00,0.00,"BARTOS, JEFFREY A",BUTLER,5,0,Governor
2,,2018,BUTLER,GRN,"GLOVER, PAUL ",490,0,0,0.61,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BUTLER,14,0,Governor
3,,2018,BUTLER,LIB,"KRAWCHUK, KENNETH V ",1088,0,0,1.36,0.00,0.00,"SMITH, KATHLEEN S",BUTLER,17,0,Governor
0,2,2018,CAMBRIA,DEM,"WOLF, THOMAS W ",21639,0,0,43.37,0.00,0.00,"FETTERMAN, JOHN K",CAMBRIA,1,0,Governor
1,4,2018,CAMBRIA,REP,"WAGNER, SCOTT R ",27530,0,0,55.18,0.00,0.00,"BARTOS, JEFFREY A",CAMBRIA,5,0,Governor
2,,2018,CAMBRIA,GRN,"GLOVER, PAUL ",312,0,0,0.63,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CAMBRIA,14,0,Governor
3,,2018,CAMBRIA,LIB,"KRAWCHUK, KENNETH V ",413,0,0,0.83,0.00,0.00,"SMITH, KATHLEEN S",CAMBRIA,17,0,Governor
0,2,2018,CAMERON,DEM,"WOLF, THOMAS W ",619,0,0,34.91,0.00,0.00,"FETTERMAN, JOHN K",CAMERON,1,0,Governor
1,4,2018,CAMERON,REP,"WAGNER, SCOTT R ",1127,0,0,63.56,0.00,0.00,"BARTOS, JEFFREY A",CAMERON,5,0,Governor
2,,2018,CAMERON,GRN,"GLOVER, PAUL ",10,0,0,0.56,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CAMERON,14,0,Governor
3,,2018,CAMERON,LIB,"KRAWCHUK, KENNETH V ",17,0,0,0.96,0.00,0.00,"SMITH, KATHLEEN S",CAMERON,17,0,Governor
0,2,2018,CARBON,DEM,"WOLF, THOMAS W ",9659,0,0,42.85,0.00,0.00,"FETTERMAN, JOHN K",CARBON,1,0,Governor
1,4,2018,CARBON,REP,"WAGNER, SCOTT R ",12476,0,0,55.35,0.00,0.00,"BARTOS, JEFFREY A",CARBON,5,0,Governor
2,,2018,CARBON,GRN,"GLOVER, PAUL ",140,0,0,0.62,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CARBON,14,0,Governor
3,,2018,CARBON,LIB,"KRAWCHUK, KENNETH V ",267,0,0,1.18,0.00,0.00,"SMITH, KATHLEEN S",CARBON,17,0,Governor
0,2,2018,CENTRE,DEM,"WOLF, THOMAS W ",34961,0,0,57.62,0.00,0.00,"FETTERMAN, JOHN K",CENTRE,1,0,Governor
1,4,2018,CENTRE,REP,"WAGNER, SCOTT R ",24353,0,0,40.13,0.00,0.00,"BARTOS, JEFFREY A",CENTRE,5,0,Governor
