,ID,ElectionYear,CountyName,PartyName,CandidateName,Votes,YesVotes,NoVotes,Percentage,YesVotesPercent,NoVotesPercent,RunningMateName,Level,RankOrder,IsRetention,office
0,2,2018,McKEAN,DEM,"WOLF, THOMAS W ",3899,0,0,30.96,0.00,0.00,"FETTERMAN, JOHN K",McKEAN,1,0,Governor
1,4,2018,McKEAN,REP,"WAGNER, SCOTT R ",8512,0,0,67.59,0.00,0.00,"BARTOS, JEFFREY A",McKEAN,5,0,Governor
2,,2018,McKEAN,GRN,"GLOVER, PAUL ",78,0,0,0.62,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",McKEAN,14,0,Governor
3,,2018,McKEAN,LIB,"KRAWCHUK, KENNETH V ",104,0,0,0.83,0.00,0.00,"SMITH, KATHLEEN S",McKEAN,17,0,Governor
0,2,2018,MERCER,DEM,"WOLF, THOMAS W ",18200,0,0,44.28,0.00,0.00,"FETTERMAN, JOHN K",MERCER,1,0,Governor
1,4,2018,MERCER,REP,"WAGNER, SCOTT R ",22211,0,0,54.04,0.00,0.00,"BARTOS, JEFFREY A",MERCER,5,0,Governor
2,,2018,MERCER,GRN,"GLOVER, PAUL ",276,0,0,0.67,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",MERCER,14,0,Governor
3,,2018,MERCER,LIB,"KRAWCHUK, KENNETH V ",413,0,0,1.00,0.00,0.00,"SMITH, KATHLEEN S",MERCER,17,0,Governor
0,2,2018,MIFFLIN,DEM,"WOLF, THOMAS W ",4127,0,0,30.03,0.00,0.00,"FETTERMAN, JOHN K",MIFFLIN,1,0,Governor
1,4,2018,MIFFLIN,REP,"WAGNER, SCOTT R ",9408,0,0,68.45,0.00,0.00,"BARTOS, JEFFREY A",MIFFLIN,5,0,Governor
2,,2018,MIFFLIN,GRN,"GLOVER, PAUL ",80,0,0,0.58,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",MIFFLIN,14,0,Governor
3,,2018,MIFFLIN,LIB,"KRAWCHUK, KENNETH V ",130,0,0,0.95,0.00,0.00,"SMITH, KATHLEEN S",MIFFLIN,17,0,Governor
0,2,2018,MONROE,DEM,"WOLF, THOMAS W ",32064,0,0,57.84,0.00,0.00,"FETTERMAN, JOHN K",MONROE,1,0,Governor
1,4,2018,MONROE,REP,"WAGNER, SCOTT R ",22530,0,0,40.64,0.00,0.00,"BARTOS, JEFFREY A",MONROE,5,0,Governor
2,,2018,MONROE,GRN,"GLOVER, PAUL ",362,0,0,0.65,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",MONROE,14,0,Governor
3,,2018,MONROE,LIB,"KRAWCHUK, KENNETH V ",481,0,0,0.87,0.00,0.00,"SMITH, KATHLEEN S",MONROE,17,0,Governor
0,2,2018,MONTGOMERY,DEM,"WOLF, THOMAS W ",256252,0,0,67.18,0.00,0.00,"FETTERMAN, JOHN K",MONTGOMERY,1,0,Governor
1,4,2018,MONTGOMERY,REP,"WAGNER, SCOTT R ",120206,0,0,31.51,0.00,0.00,"BARTOS, JEFFREY A",MONTGOMERY,5,0,Governor
2,,2018,MONTGOMERY,GRN,"GLOVER, PAUL ",1728,0,0,0.45,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",MONTGOMERY,14,0,Governor
3,,2018,MONTGOMERY,LIB,"KRAWCHUK, KENNETH V ",3260,0,0,0.85,0.00,0.00,"SMITH, KATHLEEN S",MONTGOMERY,17,0,Governor
0,2,2018,MONTOUR,DEM,"WOLF, THOMAS W ",3228,0,0,46.02,0.00,0.00,"FETTERMAN, JOHN K",MONTOUR,1,0,Governor
1,4,2018,MONTOUR,REP,"WAGNER, SCOTT R ",3642,0,0,51.92,0.00,0.00,"BARTOS, JEFFREY A",MONTOUR,5,0,Governor
2,,2018,MONTOUR,GRN,"GLOVER, PAUL ",48,0,0,0.68,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",MONTOUR,14,0,Governor
3,,2018,MONTOUR,LIB,"KRAWCHUK, KENNETH V ",97,0,0,1.38,0.00,0.00,"SMITH, KATHLEEN S",MONTOUR,17,0,Governor
0,2,2018,NORTHAMPTON,DEM,"WOLF, THOMAS W ",65749,0,0,57.11,0.00,0.00,"FETTERMAN, JOHN K",NORTHAMPTON,1,0,Governor
1,4,2018,NORTHAMPTON,REP,"WAGNER, SCOTT R ",47527,0,0,41.28,0.00,0.00,"BARTOS, JEFFREY A",NORTHAMPTON,5,0,Governor
2,,2018,NORTHAMPTON,GRN,"GLOVER, PAUL ",635,0,0,0.55,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",NORTHAMPTON,14,0,Governor
3,,2018,NORTHAMPTON,LIB,"KRAWCHUK, KENNETH V ",1211,0,0,1.05,0.00,0.00,"SMITH, KATHLEEN S",NORTHAMPTON,17,0,Governor
0,2,2018,NORTHUMBERLAND,DEM,"WOLF, THOMAS W ",12135,0,0,42.10,0.00,0.00,"FETTERMAN, JOHN K",NORTHUMBERLAND,1,0,Governor
1,4,2018,NORTHUMBERLAND,REP,"WAGNER, SCOTT R ",16122,0,0,55.94,0.00,0.00,"BARTOS, JEFFREY A",NORTHUMBERLAND,5,0,Governor
2,,2018,NORTHUMBERLAND,GRN,"GLOVER, PAUL ",204,0,0,0.71,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",NORTHUMBERLAND,14,0,Governor
3,,2018,NORTHUMBERLAND,LIB,"KRAWCHUK, KENNETH V ",360,0,0,1.25,0.00,0.00,"SMITH, KATHLEEN S",NORTHUMBERLAND,17,0,Governor
0,2,2018,PERRY,DEM,"WOLF, THOMAS W ",5905,0,0,34.34,0.00,0.00,"FETTERMAN, JOHN K",PERRY,1,0,Governor
1,4,2018,PERRY,REP,"WAGNER, SCOTT R ",10915,0,0,63.47,0.00,0.00,"BARTOS, JEFFREY A",PERRY,5,0,Governor
2,,2018,PERRY,GRN,"GLOVER, PAUL ",114,0,0,0.66,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",PERRY,14,0,Governor
3,,2018,PERRY,LIB,"KRAWCHUK, KENNETH V ",262,0,0,1.52,0.00,0.00,"SMITH, KATHLEEN S",PERRY,17,0,Governor
0,2,2018,PHILADELPHIA,DEM,"WOLF, THOMAS W ",484124,0,0,87.36,0.00,0.00,"FETTERMAN, JOHN K",PHILADELPHIA,1,0,Governor
1,4,2018,PHILADELPHIA,REP,"WAGNER, SCOTT R ",64514,0,0,11.64,0.00,0.00,"BARTOS, JEFFREY A",PHILADELPHIA,5,0,Governor
2,,2018,PHILADELPHIA,GRN,"GLOVER, PAUL ",2944,0,0,0.53,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",PHILADELPHIA,14,0,Governor
3,,2018,PHILADELPHIA,LIB,"KRAWCHUK, KENNETH V ",2593,0,0,0.47,0.00,0.00,"SMITH, KATHLEEN S",PHILADELPHIA,17,0,Governor
0,2,2018,PIKE,DEM,"WOLF, THOMAS W ",9074,0,0,43.63,0.00,0.00,"FETTERMAN, JOHN K",PIKE,1,0,Governor
1,4,2018,PIKE,REP,"WAGNER, SCOTT R ",11408,0,0,54.85,0.00,0.00,"BARTOS, JEFFREY A",PIKE,5,0,Governor
2,,2018,PIKE,GRN,"GLOVER, PAUL ",134,0,0,0.64,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",PIKE,14,0,Governor
3,,2018,PIKE,LIB,"KRAWCHUK, KENNETH V ",184,0,0,0.88,0.00,0.00,"SMITH, KATHLEEN S",PIKE,17,0,Governor
0,2,2018,POTTER,DEM,"WOLF, THOMAS W ",1452,0,0,23.24,0.00,0.00,"FETTERMAN, JOHN K",POTTER,1,0,Governor
1,4,2018,POTTER,REP,"WAGNER, SCOTT R ",4687,0,0,75.02,0.00,0.00,"BARTOS, JEFFREY A",POTTER,5,0,Governor
2,,2018,POTTER,GRN,"GLOVER, PAUL ",42,0,0,0.67,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",POTTER,14,0,Governor
3,,2018,POTTER,LIB,"KRAWCHUK, KENNETH V ",67,0,0,1.07,0.00,0.00,"SMITH, KATHLEEN S",POTTER,17,0,Governor
0,2,2018,SCHUYLKILL,DEM,"WOLF, THOMAS W ",21179,0,0,43.47,0.00,0.00,"FETTERMAN, JOHN K",SCHUYLKILL,1,0,Governor
1,4,2018,SCHUYLKILL,REP,"WAGNER, SCOTT R ",26640,0,0,54.68,0.00,0.00,"BARTOS, JEFFREY A",SCHUYLKILL,5,0,Governor
2,,2018,SCHUYLKILL,GRN,"GLOVER, PAUL ",329,0,0,0.68,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",SCHUYLKILL,14,0,Governor
3,,2018,SCHUYLKILL,LIB,"KRAWCHUK, KENNETH V ",570,0,0,1.17,0.00,0.00,"SMITH, KATHLEEN S",SCHUYLKILL,17,0,Governor
0,2,2018,SNYDER,DEM,"WOLF, THOMAS W ",4833,0,0,36.25,0.00,0.00,"FETTERMAN, JOHN K",SNYDER,1,0,Governor
1,4,2018,SNYDER,REP,"WAGNER, SCOTT R ",8283,0,0,62.13,0.00,0.00,"BARTOS, JEFFREY A",SNYDER,5,0,Governor
2,,2018,SNYDER,GRN,"GLOVER, PAUL ",67,0,0,0.50,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",SNYDER,14,0,Governor
3,,2018,SNYDER,LIB,"KRAWCHUK, KENNETH V ",149,0,0,1.12,0.00,0.00,"SMITH, KATHLEEN S",SNYDER,17,0,Governor
0,2,2018,SOMERSET,DEM,"WOLF, THOMAS W ",9138,0,0,31.81,0.00,0.00,"FETTERMAN, JOHN K",SOMERSET,1,0,Governor
1,4,2018,SOMERSET,REP,"WAGNER, SCOTT R ",19020,0,0,66.21,0.00,0.00,"BARTOS, JEFFREY A",SOMERSET,5,0,Governor
2,,2018,SOMERSET,GRN,"GLOVER, PAUL ",204,0,0,0.71,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",SOMERSET,14,0,Governor
3,,2018,SOMERSET,LIB,"KRAWCHUK, KENNETH V ",366,0,0,1.27,0.00,0.00,"SMITH, KATHLEEN S",SOMERSET,17,0,Governor
0,2,2018,SULLIVAN,DEM,"WOLF, THOMAS W ",977,0,0,36.20,0.00,0.00,"FETTERMAN, JOHN K",SULLIVAN,1,0,Governor
1,4,2018,SULLIVAN,REP,"WAGNER, SCOTT R ",1661,0,0,61.54,0.00,0.00,"BARTOS, JEFFREY A",SULLIVAN,5,0,Governor
2,,2018,SULLIVAN,GRN,"GLOVER, PAUL ",11,0,0,0.41,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",SULLIVAN,14,0,Governor
3,,2018,SULLIVAN,LIB,"KRAWCHUK, KENNETH V ",50,0,0,1.85,0.00,0.00,"SMITH, KATHLEEN S",SULLIVAN,17,0,Governor
0,2,2018,SUSQUEHANNA,DEM,"WOLF, THOMAS W ",5273,0,0,33.55,0.00,0.00,"FETTERMAN, JOHN K",SUSQUEHANNA,1,0,Governor
1,4,2018,SUSQUEHANNA,REP,"WAGNER, SCOTT R ",10137,0,0,64.49,0.00,0.00,"BARTOS, JEFFREY A",SUSQUEHANNA,5,0,Governor
2,,2018,SUSQUEHANNA,GRN,"GLOVER, PAUL ",132,0,0,0.84,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",SUSQUEHANNA,14,0,Governor
3,,2018,SUSQUEHANNA,LIB,"KRAWCHUK, KENNETH V ",177,0,0,1.13,0.00,0.00,"SMITH, KATHLEEN S",SUSQUEHANNA,17,0,Governor
0,2,2018,TIOGA,DEM,"WOLF, THOMAS W ",3991,0,0,27.01,0.00,0.00,"FETTERMAN, JOHN K",TIOGA,1,0,Governor
1,4,2018,TIOGA,REP,"WAGNER, SCOTT R ",10472,0,0,70.86,0.00,0.00,"BARTOS, JEFFREY A",TIOGA,5,0,Governor
2,,2018,TIOGA,GRN,"GLOVER, PAUL ",136,0,0,0.92,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",TIOGA,14,0,Governor
3,,2018,TIOGA,LIB,"KRAWCHUK, KENNETH V ",179,0,0,1.21,0.00,0.00,"SMITH, KATHLEEN S",TIOGA,17,0,Governor
0,2,2018,UNION,DEM,"WOLF, THOMAS W ",6426,0,0,44.64,0.00,0.00,"FETTERMAN, JOHN K",UNION,1,0,Governor
1,4,2018,UNION,REP,"WAGNER, SCOTT R ",7676,0,0,53.32,0.00,0.00,"BARTOS, JEFFREY A",UNION,5,0,Governor
2,,2018,UNION,GRN,"GLOVER, PAUL ",93,0,0,0.65,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",UNION,14,0,Governor
3,,2018,UNION,LIB,"KRAWCHUK, KENNETH V ",201,0,0,1.40,0.00,0.00,"SMITH, KATHLEEN S",UNION,17,0,Governor
0,2,2018,VENANGO,DEM,"WOLF, THOMAS W ",7431,0,0,39.90,0.00,0.00,"FETTERMAN, JOHN K",VENANGO,1,0,Governor
1,4,2018,VENANGO,REP,"WAGNER, SCOTT R ",10856,0,0,58.29,0.00,0.00,"BARTOS, JEFFREY A",VENANGO,5,0,Governor
2,,2018,VENANGO,GRN,"GLOVER, PAUL ",96,0,0,0.52,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",VENANGO,14,0,Governor
3,,2018,VENANGO,LIB,"KRAWCHUK, KENNETH V ",242,0,0,1.30,0.00,0.00,"SMITH, KATHLEEN S",VENANGO,17,0,Governor
0,2,2018,WARREN,DEM,"WOLF, THOMAS W ",5447,0,0,37.61,0.00,0.00,"FETTERMAN, JOHN K",WARREN,1,0,Governor
1,4,2018,WARREN,REP,"WAGNER, SCOTT R ",8766,0,0,60.53,0.00,0.00,"BARTOS, JEFFREY A",WARREN,5,0,Governor
2,,2018,WARREN,GRN,"GLOVER, PAUL ",108,0,0,0.75,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",WARREN,14,0,Governor
3,,2018,WARREN,LIB,"KRAWCHUK, KENNETH V ",162,0,0,1.12,0.00,0.00,"SMITH, KATHLEEN S",WARREN,17,0,Governor
0,2,2018,WASHINGTON,DEM,"WOLF, THOMAS W ",39898,0,0,48.41,0.00,0.00,"FETTERMAN, JOHN K",WASHINGTON,1,0,Governor
1,4,2018,WASHINGTON,REP,"WAGNER, SCOTT R ",40662,0,0,49.34,0.00,0.00,"BARTOS, JEFFREY A",WASHINGTON,5,0,Governor
2,,2018,WASHINGTON,GRN,"GLOVER, PAUL ",576,0,0,0.70,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",WASHINGTON,14,0,Governor
3,,2018,WASHINGTON,LIB,"KRAWCHUK, KENNETH V ",1282,0,0,1.56,0.00,0.00,"SMITH, KATHLEEN S",WASHINGTON,17,0,Governor
0,2,2018,WAYNE,DEM,"WOLF, THOMAS W ",8023,0,0,39.94,0.00,0.00,"FETTERMAN, JOHN K",WAYNE,1,0,Governor
1,4,2018,WAYNE,REP,"WAGNER, SCOTT R ",11751,0,0,58.50,0.00,0.00,"BARTOS, JEFFREY A",WAYNE,5,0,Governor
2,,2018,WAYNE,GRN,"GLOVER, PAUL ",134,0,0,0.67,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",WAYNE,14,0,Governor
3,,2018,WAYNE,LIB,"KRAWCHUK, KENNETH V ",178,0,0,0.89,0.00,0.00,"SMITH, KATHLEEN S",WAYNE,17,0,Governor
0,2,2018,WESTMORELAND,DEM,"WOLF, THOMAS W ",67950,0,0,46.45,0.00,0.00,"FETTERMAN, JOHN K",WESTMORELAND,1,0,Governor
1,4,2018,WESTMORELAND,REP,"WAGNER, SCOTT R ",76126,0,0,52.04,0.00,0.00,"BARTOS, JEFFREY A",WESTMORELAND,5,0,Governor
2,,2018,WESTMORELAND,GRN,"GLOVER, PAUL ",690,0,0,0.47,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",WESTMORELAND,14,0,Governor
3,,2018,WESTMORELAND,LIB,"KRAWCHUK, KENNETH V ",1529,0,0,1.05,0.00,0.00,"SMITH, KATHLEEN S",WESTMORELAND,17,0,Governor
0,2,2018,WYOMING,DEM,"WOLF, THOMAS W ",4101,0,0,38.51,0.00,0.00,"FETTERMAN, JOHN K",WYOMING,1,0,Governor
1,4,2018,WYOMING,REP,"WAGNER, SCOTT R ",6344,0,0,59.57,0.00,0.00,"BARTOS, JEFFREY A",WYOMING,5,0,Governor
2,,2018,WYOMING,GRN,"GLOVER, PAUL ",104,0,0,0.98,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",WYOMING,14,0,Governor
3,,2018,WYOMING,LIB,"KRAWCHUK, KENNETH V ",100,0,0,0.94,0.00,0.00,"SMITH, KATHLEEN S",WYOMING,17,0,Governor
0,2,2018,YORK,DEM,"WOLF, THOMAS W ",75313,0,0,44.57,0.00,0.00,"FETTERMAN, JOHN K",YORK,1,0,Governor
1,4,2018,YORK,REP,"WAGNER, SCOTT R ",90590,0,0,53.61,0.00,0.00,"BARTOS, JEFFREY A",YORK,5,0,Governor
2,,2018,YORK,GRN,"GLOVER, PAUL ",910,0,0,0.54,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",YORK,14,0,Governor
3,,2018,YORK,LIB,"KRAWCHUK, KENNETH V ",2165,0,0,1.28,0.00,0.00,"SMITH, KATHLEEN S",YORK,17,0,Governor
0,1,2018,ADAMS,DEM,"CASEY, ROBERT P JR",14880,0,0,38.05,0.00,0.00, ,ADAMS,1,0,U.S. Senate
1,3,2018,ADAMS,REP,"BARLETTA, LOUIS J. ",23419,0,0,59.89,0.00,0.00, ,ADAMS,5,0,U.S. Senate
2,,2018,ADAMS,GRN,"GALE, NEAL TAYLOR ",292,0,0,0.75,0.00,0.00, ,ADAMS,14,0,U.S. Senate
3,,2018,ADAMS,LIB,"KERNS, DALE R JR",511,0,0,1.31,0.00,0.00, ,ADAMS,17,0,U.S. Senate
0,1,2018,ALLEGHENY,DEM,"CASEY, ROBERT P JR",355907,0,0,65.70,0.00,0.00, ,ALLEGHENY,1,0,U.S. Senate
1,3,2018,ALLEGHENY,REP,"BARLETTA, LOUIS J. ",176351,0,0,32.55,0.00,0.00, ,ALLEGHENY,5,0,U.S. Senate
2,,2018,ALLEGHENY,GRN,"GALE, NEAL TAYLOR ",3240,0,0,0.60,0.00,0.00, ,ALLEGHENY,14,0,U.S. Senate
3,,2018,ALLEGHENY,LIB,"KERNS, DALE R JR",6205,0,0,1.15,0.00,0.00, ,ALLEGHENY,17,0,U.S. Senate
0,1,2018,ARMSTRONG,DEM,"CASEY, ROBERT P JR",8570,0,0,35.00,0.00,0.00, ,ARMSTRONG,1,0,U.S. Senate
1,3,2018,ARMSTRONG,REP,"BARLETTA, LOUIS J. ",15449,0,0,63.09,0.00,0.00, ,ARMSTRONG,5,0,U.S. Senate
2,,2018,ARMSTRONG,GRN,"GALE, NEAL TAYLOR ",159,0,0,0.65,0.00,0.00, ,ARMSTRONG,14,0,U.S. Senate
3,,2018,ARMSTRONG,LIB,"KERNS, DALE R JR",310,0,0,1.27,0.00,0.00, ,ARMSTRONG,17,0,U.S. Senate
0,1,2018,BEAVER,DEM,"CASEY, ROBERT P JR",34442,0,0,50.92,0.00,0.00, ,BEAVER,1,0,U.S. Senate
1,3,2018,BEAVER,REP,"BARLETTA, LOUIS J. ",31916,0,0,47.18,0.00,0.00, ,BEAVER,5,0,U.S. Senate
2,,2018,BEAVER,GRN,"GALE, NEAL TAYLOR ",437,0,0,0.65,0.00,0.00, ,BEAVER,14,0,U.S. Senate
3,,2018,BEAVER,LIB,"KERNS, DALE R JR",847,0,0,1.25,0.00,0.00, ,BEAVER,17,0,U.S. Senate
0,1,2018,BEDFORD,DEM,"CASEY, ROBERT P JR",4567,0,0,24.26,0.00,0.00, ,BEDFORD,1,0,U.S. Senate
1,3,2018,BEDFORD,REP,"BARLETTA, LOUIS J. ",14044,0,0,74.61,0.00,0.00, ,BEDFORD,5,0,U.S. Senate
2,,2018,BEDFORD,GRN,"GALE, NEAL TAYLOR ",83,0,0,0.44,0.00,0.00, ,BEDFORD,14,0,U.S. Senate
3,,2018,BEDFORD,LIB,"KERNS, DALE R JR",129,0,0,0.69,0.00,0.00, ,BEDFORD,17,0,U.S. Senate
0,1,2018,BERKS,DEM,"CASEY, ROBERT P JR",73714,0,0,51.00,0.00,0.00, ,BERKS,1,0,U.S. Senate
1,3,2018,BERKS,REP,"BARLETTA, LOUIS J. ",68159,0,0,47.16,0.00,0.00, ,BERKS,5,0,U.S. Senate
2,,2018,BERKS,GRN,"GALE, NEAL TAYLOR ",977,0,0,0.68,0.00,0.00, ,BERKS,14,0,U.S. Senate
3,,2018,BERKS,LIB,"KERNS, DALE R JR",1683,0,0,1.16,0.00,0.00, ,BERKS,17,0,U.S. Senate
0,1,2018,BLAIR,DEM,"CASEY, ROBERT P JR",14599,0,0,33.82,0.00,0.00, ,BLAIR,1,0,U.S. Senate
1,3,2018,BLAIR,REP,"BARLETTA, LOUIS J. ",27826,0,0,64.46,0.00,0.00, ,BLAIR,5,0,U.S. Senate
2,,2018,BLAIR,GRN,"GALE, NEAL TAYLOR ",258,0,0,0.60,0.00,0.00, ,BLAIR,14,0,U.S. Senate
3,,2018,BLAIR,LIB,"KERNS, DALE R JR",482,0,0,1.12,0.00,0.00, ,BLAIR,17,0,U.S. Senate
0,1,2018,BRADFORD,DEM,"CASEY, ROBERT P JR",6926,0,0,34.07,0.00,0.00, ,BRADFORD,1,0,U.S. Senate
1,3,2018,BRADFORD,REP,"BARLETTA, LOUIS J. ",13032,0,0,64.11,0.00,0.00, ,BRADFORD,5,0,U.S. Senate
2,,2018,BRADFORD,GRN,"GALE, NEAL TAYLOR ",143,0,0,0.70,0.00,0.00, ,BRADFORD,14,0,U.S. Senate
3,,2018,BRADFORD,LIB,"KERNS, DALE R JR",227,0,0,1.12,0.00,0.00, ,BRADFORD,17,0,U.S. Senate
0,1,2018,BUCKS,DEM,"CASEY, ROBERT P JR",165408,0,0,56.20,0.00,0.00, ,BUCKS,1,0,U.S. Senate
1,3,2018,BUCKS,REP,"BARLETTA, LOUIS J. ",124133,0,0,42.18,0.00,0.00, ,BUCKS,5,0,U.S. Senate
2,,2018,BUCKS,GRN,"GALE, NEAL TAYLOR ",1903,0,0,0.65,0.00,0.00, ,BUCKS,14,0,U.S. Senate
3,,2018,BUCKS,LIB,"KERNS, DALE R JR",2873,0,0,0.98,0.00,0.00, ,BUCKS,17,0,U.S. Senate
0,1,2018,BUTLER,DEM,"CASEY, ROBERT P JR",31010,0,0,39.01,0.00,0.00, ,BUTLER,1,0,U.S. Senate
1,3,2018,BUTLER,REP,"BARLETTA, LOUIS J. ",46875,0,0,58.97,0.00,0.00, ,BUTLER,5,0,U.S. Senate
2,,2018,BUTLER,GRN,"GALE, NEAL TAYLOR ",488,0,0,0.61,0.00,0.00, ,BUTLER,14,0,U.S. Senate
3,,2018,BUTLER,LIB,"KERNS, DALE R JR",1122,0,0,1.41,0.00,0.00, ,BUTLER,17,0,U.S. Senate
0,1,2018,CAMBRIA,DEM,"CASEY, ROBERT P JR",21590,0,0,43.52,0.00,0.00, ,CAMBRIA,1,0,U.S. Senate
1,3,2018,CAMBRIA,REP,"BARLETTA, LOUIS J. ",27367,0,0,55.17,0.00,0.00, ,CAMBRIA,5,0,U.S. Senate
2,,2018,CAMBRIA,GRN,"GALE, NEAL TAYLOR ",247,0,0,0.50,0.00,0.00, ,CAMBRIA,14,0,U.S. Senate
3,,2018,CAMBRIA,LIB,"KERNS, DALE R JR",403,0,0,0.81,0.00,0.00, ,CAMBRIA,17,0,U.S. Senate
0,1,2018,CAMERON,DEM,"CASEY, ROBERT P JR",653,0,0,37.00,0.00,0.00, ,CAMERON,1,0,U.S. Senate
1,3,2018,CAMERON,REP,"BARLETTA, LOUIS J. ",1080,0,0,61.19,0.00,0.00, ,CAMERON,5,0,U.S. Senate
2,,2018,CAMERON,GRN,"GALE, NEAL TAYLOR ",10,0,0,0.57,0.00,0.00, ,CAMERON,14,0,U.S. Senate
3,,2018,CAMERON,LIB,"KERNS, DALE R JR",22,0,0,1.25,0.00,0.00, ,CAMERON,17,0,U.S. Senate
0,1,2018,CARBON,DEM,"CASEY, ROBERT P JR",8739,0,0,38.71,0.00,0.00, ,CARBON,1,0,U.S. Senate
1,3,2018,CARBON,REP,"BARLETTA, LOUIS J. ",13519,0,0,59.89,0.00,0.00, ,CARBON,5,0,U.S. Senate
2,,2018,CARBON,GRN,"GALE, NEAL TAYLOR ",119,0,0,0.53,0.00,0.00, ,CARBON,14,0,U.S. Senate
3,,2018,CARBON,LIB,"KERNS, DALE R JR",197,0,0,0.87,0.00,0.00, ,CARBON,17,0,U.S. Senate
0,1,2018,CENTRE,DEM,"CASEY, ROBERT P JR",34778,0,0,57.33,0.00,0.00, ,CENTRE,1,0,U.S. Senate
1,3,2018,CENTRE,REP,"BARLETTA, LOUIS J. ",24332,0,0,40.11,0.00,0.00, ,CENTRE,5,0,U.S. Senate
2,,2018,CENTRE,GRN,"GALE, NEAL TAYLOR ",632,0,0,1.04,0.00,0.00, ,CENTRE,14,0,U.S. Senate
3,,2018,CENTRE,LIB,"KERNS, DALE R JR",922,0,0,1.52,0.00,0.00, ,CENTRE,17,0,U.S. Senate
0,1,2018,CHESTER,DEM,"CASEY, ROBERT P JR",140138,0,0,59.20,0.00,0.00, ,CHESTER,1,0,U.S. Senate
1,3,2018,CHESTER,REP,"BARLETTA, LOUIS J. ",92380,0,0,39.03,0.00,0.00, ,CHESTER,5,0,U.S. Senate
2,,2018,CHESTER,GRN,"GALE, NEAL TAYLOR ",1587,0,0,0.67,0.00,0.00, ,CHESTER,14,0,U.S. Senate
3,,2018,CHESTER,LIB,"KERNS, DALE R JR",2613,0,0,1.10,0.00,0.00, ,CHESTER,17,0,U.S. Senate
0,1,2018,CLARION,DEM,"CASEY, ROBERT P JR",4924,0,0,35.09,0.00,0.00, ,CLARION,1,0,U.S. Senate
1,3,2018,CLARION,REP,"BARLETTA, LOUIS J. ",8838,0,0,62.99,0.00,0.00, ,CLARION,5,0,U.S. Senate
2,,2018,CLARION,GRN,"GALE, NEAL TAYLOR ",87,0,0,0.62,0.00,0.00, ,CLARION,14,0,U.S. Senate
3,,2018,CLARION,LIB,"KERNS, DALE R JR",182,0,0,1.30,0.00,0.00, ,CLARION,17,0,U.S. Senate
0,1,2018,CLEARFIELD,DEM,"CASEY, ROBERT P JR",9540,0,0,35.59,0.00,0.00, ,CLEARFIELD,1,0,U.S. Senate
1,3,2018,CLEARFIELD,REP,"BARLETTA, LOUIS J. ",16852,0,0,62.87,0.00,0.00, ,CLEARFIELD,5,0,U.S. Senate
2,,2018,CLEARFIELD,GRN,"GALE, NEAL TAYLOR ",145,0,0,0.54,0.00,0.00, ,CLEARFIELD,14,0,U.S. Senate
3,,2018,CLEARFIELD,LIB,"KERNS, DALE R JR",266,0,0,0.99,0.00,0.00, ,CLEARFIELD,17,0,U.S. Senate
0,1,2018,CLINTON,DEM,"CASEY, ROBERT P JR",5289,0,0,42.73,0.00,0.00, ,CLINTON,1,0,U.S. Senate
1,3,2018,CLINTON,REP,"BARLETTA, LOUIS J. ",6869,0,0,55.49,0.00,0.00, ,CLINTON,5,0,U.S. Senate
2,,2018,CLINTON,GRN,"GALE, NEAL TAYLOR ",82,0,0,0.66,0.00,0.00, ,CLINTON,14,0,U.S. Senate
3,,2018,CLINTON,LIB,"KERNS, DALE R JR",138,0,0,1.11,0.00,0.00, ,CLINTON,17,0,U.S. Senate
0,1,2018,COLUMBIA,DEM,"CASEY, ROBERT P JR",8837,0,0,39.04,0.00,0.00, ,COLUMBIA,1,0,U.S. Senate
